ID,Year,Month,Foot,Bicycle,Total,Other trans,route_id
201905,2019,5,43834,2752,46673,87,185
201906,2019,6,44860,4100,49058,98,186
201907,2019,7,50648,2516,53319,155,187
201908,2019,8,58921,3709,62814,184,188
201909,2019,9,43021,2565,45653,67,189
201910,2019,10,34553,1527,36118,38,190
201911,2019,11,7951,323,8274,0,191
201912,2019,12,2607,93,2710,10,192
202001,2020,1,1935,66,2001,0,193
202002,2020,2,2962,101,3076,13,194
202003,2020,3,1890,58,1948,0,195
202006,2020,6,12,0,12,0,196
202007,2020,7,8998,736,9752,18,197
202008,2020,8,17988,1798,19812,26,198
202009,2020,9,9302,1123,10441,16,199
202010,2020,10,5824,581,6418,13,200
202011,2020,11,559,18,585,8,201
202012,2020,12,87,12,99,0,202
202101,2021,1,57,2,60,1,203
202102,2021,2,12,2,14,0,204
202103,2021,3,187,5,194,2,205
202104,2021,4,996,26,1024,2,206
202105,2021,5,3898,387,4295,10,207
202106,2021,6,13277,1473,14824,74,208
202107,2021,7,31763,2148,33963,52,209
202108,2021,8,41332,2132,43575,111,210
202109,2021,9,35150,2240,37463,73,211
202110,2021,10,29236,1875,31170,59,212
202111,2021,11,8679,405,9094,10,213
202112,2021,12,1168,21,1193,4,214
202201,2022,1,1585,29,1617,3,215
202202,2022,2,1959,62,2034,13,216
202203,2022,3,7177,197,7389,15,217
202204,2022,4,32674,1522,34283,87,218
202205,2022,5,45264,2880,48254,110,219
202206,2022,6,53359,4417,58012,236,220
202207,2022,7,63952,3222,67374,200,221
202208,2022,8,81945,3703,85842,194,222
202209,2022,9,62228,3777,66196,191,223
202210,2022,10,48788,2522,51356,46,224
